STD_YM,BLOCK_CD,X_COORD,Y_COORD,FLOW_POP_CNT_MON,FLOW_POP_CNT_TUS,FLOW_POP_CNT_WED,FLOW_POP_CNT_THU,FLOW_POP_CNT_FRI,FLOW_POP_CNT_SAT,FLOW_POP_CNT_SUN
202001,3.63303E+19,1000033.992,1688279.147,1.18,1.25,1.2,1.36,1.48,1.71,1.2
202001,3.63303E+19,1000033.992,1688329.147,0.26,0.28,0.26,0.3,0.34,0.37,0.26
202001,3.63303E+19,1000033.992,1689229.147,0.07,0.07,0.05,0.07,0.07,0,0
202001,3.63303E+19,1000033.992,1689379.147,0.12,0.12,0.12,0.14,0.16,0.16,0.12
202001,3.63303E+19,1000033.992,1689429.147,0.79,0.76,0.74,0.78,0.87,0.94,0.81
202001,3.63303E+19,1000033.992,1689629.147,0.23,0.25,0.25,0.26,0.34,0.42,0.32
202001,3.63303E+19,1000033.992,1689779.147,0,0,0,0.02,0,0,0
202001,3.63303E+19,1000033.992,1689829.147,0,0,0,0.02,0,0,0
202001,3.63303E+19,1000033.992,1689879.147,0.02,0.02,0.02,0.02,0.02,0,0
202001,3.63303E+19,1000033.992,1689929.147,0.02,0.02,0.02,0.02,0.02,0,0
202001,3.63303E+19,1000033.992,1689979.147,0.02,0.02,0.02,0.04,0.02,0,0
202001,3.63303E+19,1000033.992,1690429.147,0.02,0.02,0.02,0.02,0.02,0,0
202001,3.63303E+19,1000033.992,1690729.147,0.04,0.04,0.04,0.04,0.04,0,0
202001,3.63303E+19,1000033.992,1691029.147,0.57,0.58,0.58,0.64,0.78,1.09,0.83
202001,3.63303E+19,1000033.992,1691129.147,1.11,1.13,1.08,1.24,1.34,1.39,1.02
202001,3.63303E+19,1000033.992,1691179.147,3.6,3.69,3.62,4.08,4.75,5.81,4.29
202001,3.63303E+19,1000033.992,1691229.147,3.21,3.28,3.28,3.62,4.36,5.67,4.18
202001,3.63303E+19,1000033.992,1695579.147,0.02,0.02,0.02,0.02,0.02,0.02,0.02
202001,3.63303E+19,1000033.992,1695629.147,0.04,0.04,0.04,0.05,0.04,0,0
202001,3.63303E+19,1000033.992,1695729.147,0.05,0.04,0.04,0.05,0.04,0,0
202001,3.63303E+19,1000033.992,1695779.147,0.05,0.04,0.04,0.05,0.04,0,0
202001,3.63303E+19,1000033.992,1695829.147,0.04,0.04,0.04,0.05,0.04,0,0
202001,3.63303E+19,1000033.992,1695929.147,0.05,0.04,0.04,0.05,0.04,0,0
